diameter,weight,red,green,blue,name
102,183,29,64,6,1
103,184,51,43,0,1
103,185,29,34,10,1
103,186,46,40,0,1
103,186,49,55,0,1
104,187,22,46,2,1
104,187,29,45,15,1
105,188,37,58,0,1
105,189,53,51,0,1
105,190,33,46,0,1
105,191,48,51,3,1
106,192,33,26,0,1
106,193,51,61,14,1
107,194,52,52,9,1
107,195,31,44,0,1
107,196,53,31,0,1
107,197,36,46,0,1
107,198,49,30,0,1
108,199,37,52,16,1
108,200,28,46,17,1
108,201,36,45,0,1
108,201,30,57,20,1
108,202,43,49,0,1
109,203,37,28,0,1
109,204,40,47,3,1
109,205,40,46,11,1
110,206,18,41,15,1
110,207,37,63,0,1
110,208,34,32,0,1
111,209,24,32,12,1
111,209,29,53,8,1
112,209,50,49,7,1
112,210,36,37,3,1
112,211,50,61,1,1
112,212,51,55,4,1
112,212,49,57,18,1
113,213,38,51,0,1
113,214,47,58,8,1
113,214,45,50,0,1
113,215,28,36,0,1
113,216,27,50,7,1
114,217,55,60,26,1
115,218,44,53,6,1
116,218,35,52,0,1
116,219,19,37,0,1
116,219,41,38,0,1
117,220,40,45,15,1
117,221,40,60,6,1
117,222,42,48,17,1
117,223,35,48,10,1
117,224,39,38,8,1
118,225,47,39,0,1
119,226,26,59,0,1
119,227,30,43,8,1
119,228,69,45,6,1
119,229,45,54,0,1
119,230,40,44,8,1
120,231,64,23,22,1
120,232,52,51,0,1
120,233,45,52,0,1
120,234,44,56,0,1
121,235,40,34,7,1
121,236,39,37,0,1
121,237,56,60,0,1
121,238,24,55,12,1
121,239,39,48,15,1
122,240,53,42,0,1
122,241,30,63,3,1
122,242,62,45,6,1
122,243,43,49,0,1
123,244,55,57,0,1
123,245,54,33,0,1
123,246,33,49,0,1
123,247,58,47,4,1
123,248,35,41,0,1
123,249,46,45,10,1
124,250,40,39,13,1
124,251,30,54,6,1
125,252,36,50,0,1
126,253,28,48,3,1
126,254,48,26,0,1
126,255,29,38,0,1
127,256,40,48,22,1
127,257,61,48,1,1
128,257,30,47,7,1
128,258,36,60,5,1
128,259,30,56,0,1
128,260,20,61,10,1
129,261,34,46,12,1
129,262,45,51,0,1
129,263,33,52,12,1
129,264,43,73,10,1
129,265,49,37,12,1
129,265,51,44,13,1
130,266,37,43,8,1
130,267,40,56,10,1
131,268,48,41,4,1
131,269,45,42,0,1
131,270,50,42,0,1
131,271,26,63,0,1
132,272,50,47,7,1
132,273,28,40,10,1
132,274,62,59,0,1
133,275,42,36,0,1
133,275,28,48,23,1
133,276,32,33,0,1
133,276,28,46,0,1
133,277,67,49,0,1
133,278,61,29,0,1
134,279,29,65,7,1
134,280,32,50,12,1
134,281,45,41,0,1
134,282,47,57,0,1
134,282,27,52,6,1
135,283,42,39,6,1
135,284,26,64,6,1
135,285,38,39,0,1
136,286,54,48,2,1
136,287,38,46,2,1
136,287,42,36,0,1
136,288,56,51,12,1
136,289,36,43,15,1
136,290,28,51,5,1
136,291,43,37,0,1
137,291,36,51,4,1
137,292,27,50,9,1
137,293,49,72,16,1
137,294,44,41,0,1
137,295,60,71,4,1
137,296,38,27,0,1
137,297,32,40,6,1
137,298,45,49,2,1
138,299,35,45,5,1
138,299,44,49,11,1
138,300,43,52,0,1
138,301,53,43,24,1
138,302,33,39,9,1
138,303,46,61,1,1
138,304,35,48,4,1
139,305,26,45,0,1
139,306,44,36,6,1
139,307,41,41,7,1
139,308,51,53,11,1
139,308,42,45,11,1
139,309,41,62,0,1
139,310,21,45,16,1
140,310,35,47,10,1
140,311,27,37,6,1
140,312,38,44,6,1
140,313,48,36,5,1
140,314,48,39,9,1
140,314,31,45,7,1
141,315,35,35,9,1
141,315,38,50,26,1
141,316,42,55,12,1
141,316,35,50,20,1
141,317,26,30,0,1
141,318,42,57,0,1
141,318,41,68,0,1
141,319,36,40,6,1
141,319,51,67,12,1
141,319,37,39,3,1
141,320,38,42,0,1
142,321,27,47,1,1
142,322,37,55,0,1
142,323,28,36,4,1
143,324,41,48,7,1
143,324,45,48,11,1
143,325,49,42,0,1
143,326,37,58,0,1
143,327,55,23,0,1
143,328,21,48,0,1
143,329,54,48,1,1
144,330,51,57,2,1
144,331,54,31,0,1
144,331,38,36,16,1
144,332,34,30,0,1
144,333,32,43,13,1
144,334,27,50,15,1
144,335,43,43,0,1
144,336,34,41,23,1
144,337,51,49,11,1
145,338,37,37,11,1
145,339,43,41,6,1
146,340,51,60,0,1
146,341,39,58,0,1
146,342,19,47,0,1
146,343,30,25,4,1
146,344,29,28,0,1
146,345,33,42,2,1
147,346,43,32,11,1
147,347,31,53,15,1
147,348,47,45,0,1
147,349,40,60,4,1
148,350,19,61,18,1
148,351,43,27,4,1
148,352,49,30,17,1
148,353,47,50,2,1
148,354,44,45,15,1
148,355,28,36,8,1
148,356,48,51,0,1
149,357,32,44,0,1
149,358,28,54,0,1
149,359,24,43,13,1
149,360,52,45,1,1
149,361,55,46,11,1
149,362,35,30,15,1
150,362,37,43,8,1
150,363,31,38,17,1
150,364,29,52,0,1
150,365,46,28,7,1
150,366,32,46,0,1
150,366,47,40,7,1
150,367,54,52,0,1
151,368,46,50,0,1
151,369,52,48,0,1
151,370,30,54,7,1
151,371,36,58,12,1
152,372,31,49,0,1
152,373,38,42,14,1
152,375,46,39,0,1
152,376,35,54,0,1
152,376,35,67,0,1
152,376,44,44,8,1
153,377,42,46,0,1
153,377,33,51,8,1
153,378,37,65,0,1
153,379,31,42,0,1
154,379,53,54,12,1
154,380,21,47,16,1
154,381,43,51,1,1
155,382,49,62,6,1
155,383,36,59,2,1
155,384,48,43,1,1
156,385,50,54,14,1
156,386,55,42,9,1
156,386,48,57,21,1
156,387,45,37,10,1
156,388,24,64,0,1
156,389,38,38,0,1
156,389,44,33,4,1
157,390,33,44,18,1
157,391,36,52,13,1
157,392,46,35,21,1
157,393,55,58,2,1
157,394,37,76,8,1
158,394,28,44,0,1
158,395,40,55,1,1
158,395,47,39,25,1
158,396,21,43,21,1
159,397,45,52,2,1
159,398,34,67,0,1
159,398,55,46,8,1
159,399,56,48,0,1
159,400,41,39,0,1
159,401,39,32,9,1
159,402,25,46,26,1
159,403,45,38,2,1
159,403,47,35,0,1
160,403,39,43,4,1
160,404,40,47,7,1
161,405,47,32,3,1
161,406,48,57,5,1
161,407,50,55,11,1
161,408,48,53,6,1
161,409,54,47,0,1
161,409,33,41,4,1
161,409,53,40,12,1
161,410,35,54,1,1
161,411,29,37,8,1
161,412,43,58,1,1
161,412,44,52,0,1
161,412,34,43,3,1
162,413,53,49,0,1
162,414,44,52,0,1
162,414,40,51,0,1
162,415,38,56,13,1
163,416,38,45,15,1
163,417,52,57,6,1
163,417,16,46,4,1
163,418,23,53,0,1
163,418,33,54,8,1
163,419,50,37,1,1
163,420,42,61,0,1
163,420,40,30,5,1
164,421,43,45,11,1
164,422,51,49,8,1
164,423,39,46,5,1
164,424,64,70,9,1
164,425,31,43,0,1
164,426,39,60,0,1
164,427,49,51,0,1
164,428,51,37,3,1
165,429,36,55,3,1
165,429,8,42,13,1
165,430,37,40,0,1
165,431,38,56,20,1
165,432,58,46,19,1
166,433,19,52,5,1
166,434,52,51,17,1
166,435,33,47,0,1
166,436,37,42,19,1
166,436,40,35,0,1
166,437,47,54,5,1
166,438,46,58,0,1
167,439,36,48,4,1
167,440,26,66,0,1
167,441,36,42,0,1
167,442,33,56,0,1
167,443,38,48,6,1
167,444,38,34,0,1
167,445,11,55,9,1
167,446,50,49,0,1
168,447,27,43,2,1
168,448,35,36,0,1
168,449,37,35,7,1
168,450,21,42,0,1
168,451,36,51,0,1
168,452,42,49,0,1
168,453,39,60,21,1
169,454,43,36,1,1
169,455,42,56,6,1
169,456,35,50,0,1
169,456,33,45,3,1
169,457,45,55,14,1
169,458,28,38,0,1
169,459,33,48,2,1
169,460,53,52,0,1
169,461,39,42,30,1
169,462,35,70,5,1
169,463,35,40,26,1
170,463,43,47,8,1
170,463,29,48,22,1
170,464,44,41,0,1
170,465,40,66,22,1
170,465,51,57,0,1
170,466,40,56,20,1
170,466,41,39,14,1
170,466,29,53,10,1
170,467,43,50,5,1
170,468,31,69,2,1
170,468,36,48,0,1
170,468,48,50,32,1
171,469,52,33,0,1
171,470,42,45,6,1
171,471,48,50,4,1
171,472,39,26,0,1
171,473,36,49,0,1
171,474,26,47,0,1
172,475,46,34,5,1
172,476,22,65,5,1
172,477,45,44,0,1
172,478,54,41,7,1
172,479,49,49,14,1
172,480,40,59,0,1
172,481,64,51,3,1
172,481,39,55,7,1
172,482,46,47,0,1
172,483,35,37,11,1
172,484,37,62,0,1
172,485,39,62,27,1
172,486,37,61,0,1
173,487,25,31,3,1
173,488,45,55,0,1
173,489,31,36,0,1
173,490,23,38,8,1
173,491,56,54,1,1
173,491,52,49,7,1
174,492,46,66,0,1
174,493,33,41,0,1
174,494,47,46,0,1
174,495,52,68,15,1
174,496,25,61,4,1
174,496,35,57,11,1
174,497,40,55,0,1
174,498,39,43,0,1
174,499,31,55,14,1
174,499,41,50,2,1
174,499,36,36,0,1
175,499,40,42,13,1
175,500,35,44,0,1
175,501,36,50,0,1
175,502,40,63,7,1
176,502,47,76,0,1
176,503,53,48,0,1
176,503,46,53,0,1
176,503,22,53,0,1
176,504,53,24,9,1
176,505,35,46,4,1
177,506,54,37,0,1
177,507,45,44,4,1
177,507,29,31,13,1
177,507,45,39,0,1
177,507,36,54,2,1
177,508,49,56,0,1
177,508,37,59,0,1
177,509,55,49,16,1
178,510,34,22,0,1
178,511,37,59,0,1
178,512,40,41,0,1
178,512,40,51,0,1
178,513,25,57,10,1
178,514,31,63,0,1
178,515,36,65,10,1
178,515,41,40,0,1
178,516,44,46,1,1
178,517,63,50,0,1
178,518,41,57,11,1
179,518,36,50,0,1
179,519,37,30,4,1
179,520,48,68,9,1
179,521,48,46,0,1
179,522,42,56,14,1
179,522,41,54,0,1
179,523,36,58,0,1
179,524,39,42,0,1
180,524,37,45,4,1
180,525,29,44,5,1
180,526,42,52,5,1
180,527,41,48,8,1
180,527,37,31,16,1
180,528,41,37,5,1
180,529,44,59,12,1
180,530,43,50,0,1
180,531,37,40,8,1
181,532,57,48,9,1
181,533,32,46,0,1
181,534,49,41,0,1
181,535,47,46,0,1
181,536,31,44,15,1
181,537,51,36,18,1
181,537,38,63,10,1
181,537,44,58,9,1
181,538,31,51,0,1
182,539,46,62,17,1
182,540,37,42,24,1
182,541,39,46,4,1
182,542,49,45,13,1
182,542,43,54,1,1
182,543,33,64,0,1
182,543,30,44,2,1
182,544,18,50,2,1
182,544,40,58,7,1
182,544,59,39,8,1
182,544,44,45,0,1
182,545,44,55,0,1
182,546,45,17,7,1
182,547,37,55,9,1
183,548,50,61,1,1
183,548,34,50,25,1
183,549,50,51,0,1
183,550,45,38,4,1
183,551,60,46,4,1
184,552,50,55,0,1
184,552,56,29,3,1
184,553,47,54,12,1
184,554,41,44,0,1
184,554,57,49,7,1
185,554,53,57,0,1
185,555,42,47,8,1
185,556,30,50,0,1
185,557,53,59,0,1
185,557,42,51,0,1
185,558,41,66,2,1
185,559,13,45,4,1
186,560,64,43,0,1
186,561,32,39,4,1
186,562,27,47,0,1
186,563,51,39,16,1
186,564,47,27,10,1
186,565,34,48,0,1
186,566,53,32,0,1
187,567,33,43,8,1
187,568,43,41,0,1
187,569,38,50,3,1
187,569,53,60,5,1
187,570,37,42,0,1
187,571,29,72,17,1
187,572,50,25,0,1
187,573,39,48,0,1
187,574,36,58,0,1
188,575,28,41,0,1
188,575,45,64,0,1
188,576,46,38,4,1
188,577,47,43,19,1
188,578,40,35,10,1
188,579,52,22,10,1
188,580,27,41,0,1
189,581,33,42,0,1
189,582,49,52,8,1
189,582,33,49,6,1
189,582,46,56,11,1
189,583,43,42,4,1
189,584,32,32,13,1
189,585,42,34,0,1
189,586,47,40,0,1
189,586,45,29,18,1
189,587,44,50,27,1
189,588,39,41,0,1
190,588,28,36,0,1
190,589,57,22,10,1
190,590,56,54,0,1
190,590,27,51,0,1
190,591,50,38,3,1
190,591,63,36,0,1
190,592,46,38,0,1
190,592,36,49,0,1
190,593,70,41,2,1
190,593,25,56,14,1
190,594,30,30,10,1
190,595,43,37,14,1
191,596,37,28,5,1
191,597,34,55,0,1
191,598,23,60,0,1
191,599,41,54,0,1
191,600,48,57,2,1
191,600,30,49,13,1
191,601,59,65,0,1
191,601,31,47,13,1
191,602,43,41,3,1
192,602,40,58,0,1
192,603,31,63,12,1
192,604,52,36,0,1
192,605,24,39,0,1
193,606,34,39,0,1
193,607,40,63,9,1
193,607,22,38,0,1
193,608,31,48,0,1
193,608,48,48,12,1
193,609,62,43,7,1
193,609,24,32,7,1
193,610,32,62,0,1
194,611,31,43,24,1
194,612,44,51,0,1
194,613,38,40,1,1
194,614,39,55,5,1
194,615,42,34,2,1
194,615,56,38,16,1
194,616,39,47,0,1
194,616,40,42,2,1
194,617,46,34,0,1
194,618,33,50,2,1
194,619,29,39,3,1
195,620,50,42,0,1
195,621,29,46,0,1
195,622,33,58,0,1
195,623,53,40,7,1
195,624,37,40,0,1
195,624,57,57,3,1
195,625,38,34,9,1
195,626,40,31,5,1
195,626,45,42,0,1
195,627,45,60,5,1
196,628,30,55,1,1
196,629,51,38,11,1
196,630,53,34,0,1
196,631,29,48,0,1
196,632,38,52,6,1
196,632,31,39,11,1
196,633,35,48,0,1
197,634,43,55,10,1
197,635,42,28,0,1
197,636,47,40,0,1
197,637,59,43,0,1
197,638,53,50,5,1
197,639,50,51,7,1
198,640,30,50,0,1
198,641,22,34,0,1
198,641,40,41,0,1
198,642,41,47,6,1
198,643,32,35,14,1
198,644,30,35,2,1
198,644,41,44,6,1
198,644,48,32,11,1
198,645,34,43,10,1
198,646,38,64,17,1
198,648,37,48,0,1
199,649,36,46,22,1
199,650,38,48,9,1
199,650,43,62,0,1
199,650,53,52,11,1
199,651,37,32,0,1
199,652,29,64,0,1
199,653,37,41,9,1
199,654,39,56,0,1
200,655,29,33,3,1
200,655,23,38,5,1
200,656,48,38,4,1
200,657,45,33,0,1
200,657,31,20,15,1
200,658,31,58,0,1
200,659,41,39,2,1
200,659,31,64,2,1
200,660,39,50,0,1
200,661,64,52,7,1
201,661,34,59,3,1
201,662,46,47,15,1
201,663,45,45,0,1
201,664,54,55,7,1
201,665,24,45,0,1
201,665,40,34,7,1
201,666,21,49,8,1
201,666,51,51,8,1
201,667,53,21,7,1
201,667,36,35,18,1
201,668,36,38,8,1
202,669,33,43,3,1
202,670,39,44,18,1
202,671,48,49,16,1
202,672,47,47,14,1
202,673,35,49,0,1
202,674,35,49,3,1
202,675,26,68,0,1
202,676,34,71,0,1
202,677,42,52,10,1
202,678,65,52,8,1
202,678,43,40,2,1
202,679,52,51,15,1
203,679,29,58,0,1
203,679,41,63,0,1
203,680,40,49,0,1
203,681,58,61,3,1
203,682,52,56,0,1
203,682,11,39,9,1
204,683,40,32,15,1
204,684,51,43,4,1
204,685,43,65,0,1
205,686,36,50,0,1
205,687,46,41,3,1
205,688,52,36,4,1
205,689,48,56,0,1
205,689,44,45,10,1
205,690,27,49,0,1
205,691,53,27,0,1
205,691,44,59,6,1
205,692,31,45,0,1
205,692,43,57,1,1
205,693,44,49,0,1
205,693,46,50,12,1
205,694,33,48,10,1
206,695,44,52,0,1
206,696,30,48,11,1
206,697,48,43,8,1
206,698,66,46,0,1
206,698,29,38,7,1
206,699,37,50,2,1
206,699,42,51,1,1
206,700,27,43,8,1
206,701,47,45,18,1
206,702,40,40,0,1
207,703,33,41,9,1
207,703,38,63,0,1
207,704,51,45,0,1
207,705,23,61,0,1
207,706,35,40,0,1
207,707,49,42,0,1
207,707,50,53,8,1
207,708,34,37,11,1
207,709,44,42,0,1
207,710,47,42,0,1
207,711,29,47,7,1
207,712,31,38,0,1
208,712,31,47,1,1
208,713,51,38,12,1
208,713,45,23,0,1
208,714,38,37,6,1
208,715,46,65,2,1
208,716,42,29,0,1
208,716,51,43,0,1
208,717,38,50,0,1
208,718,46,42,11,1
209,719,71,50,22,1
209,719,41,44,0,1
209,720,59,67,2,1
209,720,31,58,0,1
209,720,22,37,10,1
209,721,39,63,7,1
209,722,43,51,0,1
209,723,48,45,0,1
209,724,58,46,17,1
209,725,47,46,9,1
210,726,49,39,0,1
210,727,27,50,15,1
210,728,28,46,0,1
210,728,49,42,2,1
210,729,33,44,10,1
210,730,48,54,0,1
210,731,32,52,5,1
210,732,39,52,0,1
210,733,43,54,1,1
210,734,39,28,1,1
210,735,49,58,0,1
210,736,36,61,9,1
210,737,38,40,0,1
211,737,27,44,0,1
211,738,53,57,1,1
211,740,39,52,8,1
211,741,37,23,0,1
211,742,18,46,7,1
211,743,32,34,8,1
211,743,39,45,7,1
211,744,33,41,5,1
211,744,34,40,0,1
211,745,17,54,0,1
211,746,45,53,5,1
211,746,44,57,18,1
212,747,51,55,0,1
212,748,44,51,0,1
212,749,29,47,0,1
212,750,54,47,3,1
212,751,33,48,6,1
212,752,58,46,19,1
213,752,36,48,12,1
213,753,42,42,4,1
213,754,49,45,8,1
213,755,24,28,1,1
213,756,50,34,0,1
213,757,52,51,0,1
213,758,49,58,2,1
214,759,41,40,0,1
214,760,30,44,8,1
214,760,45,31,5,1
214,761,46,37,0,1
214,761,46,41,10,1
214,762,23,44,0,1
214,763,41,44,0,1
214,764,42,47,20,1
214,764,33,48,17,1
214,765,33,38,14,1
215,765,26,31,9,1
215,765,55,52,0,1
215,766,37,23,0,1
215,766,25,40,1,1
215,767,35,53,1,1
215,767,41,58,0,1
215,767,33,33,0,1
215,768,32,54,0,1
215,769,37,49,12,1
215,770,20,63,0,1
216,770,31,31,14,1
216,771,38,59,4,1
216,772,46,44,14,1
216,772,47,39,2,1
216,773,33,38,9,1
217,774,50,59,0,1
217,775,37,38,0,1
217,776,28,42,15,1
217,777,36,55,8,1
217,778,38,58,0,1
217,779,35,64,7,1
217,780,23,57,16,1
217,781,35,45,3,1
218,782,40,40,14,1
218,783,54,40,22,1
218,784,43,21,4,1
218,784,44,24,13,1
218,784,43,55,7,1
218,785,34,41,0,1
218,786,29,48,11,1
218,786,73,45,14,1
218,786,50,50,0,1
218,787,44,39,1,1
218,788,44,55,15,1
218,789,52,55,5,1
218,790,19,38,0,1
219,791,32,51,0,1
219,792,41,50,17,1
219,793,39,65,13,1
219,793,43,56,0,1
219,793,40,59,0,1
219,794,52,39,3,1
219,795,32,55,0,1
219,796,40,56,6,1
219,796,34,35,0,1
220,797,27,56,0,1
220,797,31,51,15,1
220,798,36,34,0,1
220,799,55,53,9,1
220,800,39,35,8,1
220,801,35,48,0,1
220,802,26,55,10,1
220,803,45,60,0,1
220,804,26,46,0,1
221,805,38,41,13,1
221,806,34,49,0,1
221,807,47,43,8,1
221,808,48,59,0,1
221,809,30,44,1,1
221,810,48,31,0,1
221,811,43,47,5,1
221,812,28,43,0,1
221,813,50,40,5,1
222,814,36,42,0,1
222,815,36,48,0,1
222,816,25,47,2,1
222,817,60,45,0,1
222,818,28,41,15,1
222,819,59,45,0,1
222,820,40,35,0,1
222,821,39,61,0,1
222,822,42,43,1,1
223,823,48,62,0,1
223,824,24,53,0,1
223,825,32,50,0,1
223,826,50,48,5,1
223,826,47,49,0,1
223,826,56,45,2,1
223,826,23,59,6,1
223,827,55,46,4,1
223,828,44,64,14,1
224,829,32,36,0,1
224,830,48,57,16,1
224,831,39,50,24,1
224,831,52,44,9,1
224,832,35,52,5,1
224,833,39,56,18,1
224,834,52,44,14,1
224,834,48,38,9,1
224,835,28,38,0,1
224,835,34,53,10,1
224,836,44,52,0,1
224,837,41,49,22,1
224,838,35,36,0,1
224,839,54,52,11,1
224,840,57,52,0,1
225,841,69,47,6,1
225,842,20,38,8,1
225,843,63,47,0,1
225,843,40,71,16,1
225,843,45,40,0,1
225,844,60,34,4,1
225,845,30,34,15,1
225,846,40,56,8,1
225,848,38,47,0,1
225,849,34,64,3,1
225,850,50,38,0,1
226,851,42,52,4,1
226,852,42,41,11,1
226,853,42,63,0,1
226,853,45,43,0,1
226,854,47,61,0,1
226,855,36,39,0,1
226,856,59,32,2,1
226,857,37,47,0,1
226,857,22,46,8,1
226,858,41,56,0,1
226,858,38,56,0,1
226,859,59,57,0,1
227,859,57,43,7,1
227,860,42,46,0,1
227,860,36,35,4,1
227,860,48,51,13,1
227,861,32,53,14,1
227,861,30,37,6,1
227,862,41,56,16,1
227,863,51,59,9,1
227,863,36,36,0,1
227,864,41,51,0,1
228,865,23,51,0,1
228,866,47,50,4,1
228,866,33,34,0,1
228,867,52,34,0,1
228,868,28,49,0,1
228,868,39,67,0,1
228,869,42,61,0,1
228,870,38,43,0,1
228,871,26,32,7,1
228,872,47,51,4,1
228,872,51,37,1,1
228,872,26,57,21,1
229,873,25,64,0,1
229,873,46,50,0,1
229,873,42,45,0,1
229,873,36,47,0,1
229,873,47,55,0,1
229,873,39,57,0,1
229,873,27,23,14,1
229,874,37,37,13,1
229,875,54,66,11,1
229,875,32,48,0,1
230,876,41,34,6,1
230,877,41,35,0,1
230,878,44,48,19,1
230,879,41,39,2,1
230,879,31,55,17,1
230,880,31,46,0,1
230,880,29,42,16,1
230,881,32,38,0,1
230,881,47,36,16,1
230,882,26,41,2,1
230,883,22,40,13,1
230,884,57,74,1,1
230,884,48,50,16,1
231,885,41,37,3,1
231,885,57,68,0,1
231,886,61,64,0,1
231,887,41,39,0,1
231,888,40,47,0,1
231,888,20,41,4,1
231,889,30,41,0,1
231,890,51,54,0,1
231,890,56,45,0,1
231,891,41,56,3,1
231,891,49,53,2,1
231,892,38,52,10,1
231,892,66,34,13,1
231,893,33,50,0,1
231,894,51,44,16,1
231,895,42,67,4,1
231,896,53,50,20,1
232,896,62,58,0,1
232,897,56,29,0,1
232,898,38,43,3,1
232,899,39,63,4,1
232,900,28,50,9,1
232,900,37,52,5,1
232,901,29,43,21,1
232,901,49,67,10,1
232,901,59,37,9,1
232,902,52,57,0,1
232,903,38,59,0,1
232,903,54,28,0,1
233,903,16,76,0,1
233,904,50,58,3,1
233,905,54,54,0,1
233,905,40,40,11,1
233,906,42,24,9,1
233,906,29,47,5,1
233,907,29,42,0,1
234,907,29,48,5,1
234,908,39,54,11,1
234,909,39,44,7,1
234,910,31,56,8,1
234,911,38,55,7,1
234,912,39,53,4,1
234,913,41,55,0,1
234,914,38,33,0,1
234,914,44,42,0,1
234,915,51,43,7,1
234,915,59,67,0,1
234,916,35,38,0,1
235,916,46,33,17,1
235,918,42,55,5,1
235,918,34,48,12,1
235,919,52,40,0,1
235,920,44,45,8,1
235,921,30,48,18,1
235,922,57,51,13,1
235,923,30,40,8,1
235,924,43,27,0,1
235,924,41,47,4,1
235,924,33,54,0,1
235,924,30,32,4,1
236,925,34,32,0,1
236,926,38,56,0,1
236,926,49,49,1,1
236,927,28,60,0,1
236,927,31,49,3,1
236,928,30,46,0,1
236,929,45,44,0,1
236,929,64,48,0,1
236,930,43,44,4,1
236,931,33,47,7,1
236,931,33,51,6,1
236,932,43,57,18,1
236,932,26,36,8,1
236,933,26,61,5,1
237,934,39,40,9,1
237,935,25,38,0,1
